Nombre cliente,aviso_padre, IDaviso,Provincia,Ciudad,Zona/colonia,Zona aviso,Tipo de operación,Tipo de propiedad,Tipo de aviso,Destaque,Moneda,Precio,Mt2 totales,Ambientes,Habitaciones,Impresiones,Visitas,Leads,Calidad
CRESTALE PROPIEDADES S.A.,NO,54417645,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$253.400,81,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54417646,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$257.600,81,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54417647,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$255.300,81,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54417648,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$260.300,81,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54417649,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$257.900,81,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54417650,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$248.700,81,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54417651,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$255.700,81,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54417652,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$259.900,81,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54417653,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$263.300,81,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54417654,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$252.900,81,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54417655,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$251.100,81,3,2,0,0,,Sin Datos
CRESTALE PROPIEDADES S.A.,NO,54417793,Otros Paises,Uruguay,Montevideo,Carrasco,Venta,Apartamento,Desarrollos,Super Destacado,USD,$258.700,81,3,2,0,0,,Sin Datos
